unicode,Kanji,Definition,On Readings,Kun Readings
U+5348,午,"noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac",ゴ,うま
U+534A,半,"half, middle, odd number, semi-, part-",ハン,なか.ば
U+5351,卑,"lowly, base, vile, vulgar, despise",ヒ,"いや.しい, いや.しむ, いや.しめる"
U+5352,卒,"graduate, soldier, private, die","ソツ, シュツ","そっ.する, お.える, お.わる, ついに, にわか"
U+5353,卓,"eminent, table, desk, high",タク,
U+5354,協,"co-, cooperation",キョウ,
U+5357,南,south,"ナン, ナ",みなみ
U+5358,単,"simple, one, single, merely",タン,ひとえ
U+535A,博,"Dr., command, esteem, win acclaim, Ph.D., exposition, fair","ハク, バク",
U+535C,卜,"divining, fortune-telling, divination or katakana to radical (no. 25)",ボク,"うらな.う, うらない"
U+5360,占,"fortune-telling, divining, forecasting, occupy, hold, have, get, take",セン,"し.める, うらな.う"
U+5366,卦,a divination sign,"カ, カイ, ケ",うらかた
U+536F,卯,"sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east","ボウ, モウ",う
U+5370,印,"stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India",イン,"しるし, -じるし, しる.す"
U+5371,危,"dangerous, fear, uneasy",キ,"あぶ.ない, あや.うい, あや.ぶむ"
U+5373,即,"instant, namely, as is, conform, agree, adapt",ソク,"つ.く, つ.ける, すなわ.ち"
U+5374,却,"instead, on the contrary, rather, step back, withdraw, retreat",キャク,"かえ.って, しりぞ.く, しりぞ.ける"
U+5375,卵,"egg, ovum, spawn, roe",ラン,たまご
U+5377,卷,"volume, book, part","カン, ケン","ま.く, まき"
U+5378,卸,wholesale,シャ,"おろ.す, おろし, おろ.し"
U+537F,卿,"you, lord, secretary, state minister","ケイ, キョウ",きみ
U+5384,厄,"unlucky, misfortune, bad luck, disaster",ヤク,
U+5398,厘,"rin, 1/10 sen, 1/10 bu",リン,
U+539A,厚,"thick, heavy, rich, kind, cordial, brazen, shameless",コウ,"あつ.い, あか"
U+539F,原,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",ゲン,はら
U+53A0,厠,"privy, toilet","シ, ショク",かわや
U+53A8,厨,kitchen,"シュウ, ズ, チュ, チュウ",くりや
U+53AD,厭,"get tired of, satiate, bore, dislike, disagreeable, unwelcome","エン, オン, アン, オウ, ユウ, ヨウ","いや, あ.きる, いと.う, おさ.える"
U+53B3,厳,"stern, strictness, severity, rigidity","ゲン, ゴン","おごそ.か, きび.しい, いか.めしい, いつくし"
U+53BB,去,"gone, past, quit, leave, elapse, eliminate, divorce","キョ, コ","さ.る, -さ.る"
U+53C2,参,"nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in","サン, シン","まい.る, まい-, まじわる, みつ"
U+53C3,參,"three, going, coming, visiting","サン, シン","まい.る, まじわる, みつ"
U+53C8,又,"or again, furthermore, on the other hand",ユウ,"また, また-, また.の-"
U+53C9,叉,"fork in road, crotch","サ, シャ, サイ",また
U+53CA,及,"reach out, exert, exercise, cause",キュウ,"およ.ぶ, およ.び, および, およ.ぼす"
U+53CB,友,friend,ユウ,とも
U+53CC,双,"pair, set, comparison, counter for pairs",ソウ,"ふた, たぐい, ならぶ, ふたつ"
U+53CD,反,anti-,"ハン, ホン, タン, ホ","そ.る, そ.らす, かえ.す, かえ.る, -かえ.る"
U+53CE,収,"income, obtain, reap, pay, supply, store",シュウ,"おさ.める, おさ.まる"
U+53D4,叔,"uncle, youth",シュク,
U+53D6,取,"take, fetch, take up",シュ,"と.る, と.り, と.り-, とり, -ど.り"
U+53D7,受,"accept, undergo, answer (phone), take, get, catch, receive",ジュ,"う.ける, -う.け, う.かる"
U+53D9,叙,"confer, relate, narrate, describe",ジョ,"つい.ず, ついで"
U+53DB,叛,"disobey, defy, go back on, rebel, rebellion","ハン, ホン",そむ.く
U+53DF,叟,old person,"ソウ, シュウ",おきな
U+53E1,叡,"intelligence, imperial",エイ,あき.らか
U+53E2,叢,"plexus, clump of bushes, thicket","ソウ, ス","くさむら, むら.がる, むら"
U+53E3,口,mouth,"コウ, ク",くち
U+53E4,古,old,コ,"ふる.い, ふる-, -ふる.す"
U+53E5,句,"phrase, clause, sentence, passage, paragraph, counter for haiku",ク,
U+53EA,只,"only, free, in addition",シ,ただ
U+53EB,叫,"shout, exclaim, yell",キョウ,さけ.ぶ
U+53EC,召,"seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)",ショウ,め.す
U+53EF,可,"can, passable, mustn't, should not, do not","カ, コク","-べ.き, -べ.し"
U+53F0,台,"pedestal, a stand, counter for machines and vehicles","ダイ, タイ","うてな, われ, つかさ"
U+53F2,史,"history, chronicle",シ,
U+53F3,右,right,"ウ, ユウ",みぎ
U+53F6,叶,"grant, answer",キョウ,"かな.える, かな.う"
U+53F7,号,"nickname, number, item, title, pseudonym, name, call",ゴウ,"さけ.ぶ, よびな"
U+53F8,司,"director, official, govt office, rule, administer",シ,つかさど.る
U+5403,吃,stammer,キツ,ども.る
U+5404,各,"each, every, either",カク,おのおの
U+5408,合,"fit, suit, join, 0.1","ゴウ, ガッ, カッ","あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる"
U+5409,吉,"good luck, joy, congratulations","キチ, キツ",よし
U+540A,吊,"suspend, hang, wear (sword)",チョウ,"つ.る, つる.す"
U+540C,同,"same, agree, equal",ドウ,おな.じ
U+540D,名,"name, noted, distinguished, reputation","メイ, ミョウ","な, -な"
U+540E,后,"empress, queen, after, behind, back, later","コウ, ゴ",きさき
U+540F,吏,"officer, an official",リ,
U+5410,吐,"spit, vomit, belch, confess, tell (lies)",ト,"は.く, つ.く"
U+5411,向,"yonder, facing, beyond, confront, defy, tend toward, approach",コウ,"む.く, む.い, -む.き, む.ける, -む.け, む.かう, む.かい, む.こう, む.こう-, むこ, むか.い"
U+541B,君,"mister, you, ruler, male name suffix",クン,"きみ, -ぎみ"
U+541D,吝,"miserly, stingy, sparing",リン,"しわ.い, やぶさ.か, おし.む"
U+541F,吟,"versify, singing, recital",ギン,
U+5426,否,"negate, no, noes, refuse, decline, deny",ヒ,"いな, いや"
U+542B,含,"contain, include, hold in the mouth, bear in mind, understand, cherish",ガン,"ふく.む, ふく.める"
U+542E,吮,suck,"セン, シュン",す.う
U+5436,吶,stutter,トツ,ども.る
U+5438,吸,"suck, imbibe, inhale, sip",キュウ,す.う
U+5439,吹,"blow, breathe, puff, emit, smoke",スイ,ふ.く
U+543B,吻,proboscis,"フン, ブン","くちわき, くちさき"
U+543C,吼,"bark, bay, howl, bellow, roar, cry","コウ, ク",ほ.える
U+543E,吾,"I, my, our, one's own",ゴ,"われ, わが-, あ-"
U+5442,呂,"spine, backbone","ロ, リョ",せぼね
U+5446,呆,"be amazed, disgusted, shocked",ホウ,"ほけ.る, ぼ.ける, あき.れる, おろか"
U+5449,呉,"give, do something for, kingdom of Wu",ゴ,"く.れる, くれ"
U+544A,告,"revelation, tell, inform, announce",コク,つ.げる
U+5451,呑,drink,"トン, ドン",の.む
U+545F,呟,"mutter, grumble, murmur",ゲン,つぶや.く
U+5468,周,"circumference, circuit, lap",シュウ,まわ.り
U+546A,呪,"spell, curse, charm, malediction","ジュ, シュ, シュウ, ズ","まじな.う, のろ.い, まじな.い, のろ.う"
U+5473,味,"flavor, taste",ミ,"あじ, あじ.わう"
U+5475,呵,"scold, blow on, reprove",カ,"か.す, しか.る, わら.う"
U+547C,呼,"call, call out to, invite",コ,よ.ぶ
U+547D,命,"fate, command, decree, destiny, life, appoint","メイ, ミョウ",いのち
U+5480,咀,"bite, eat","ソ, ショ",か.む
U+5484,咄,"exclamation of surprise, cry out (in anger), scold, talk, chat",トツ,"はなし, しか.る"
U+548C,和,"harmony, Japanese style, peace, soften, Japan","ワ, オ, カ","やわ.らぐ, やわ.らげる, なご.む, なご.やか, あ.える"
U+548E,咎,"blame, censure, reprimand","キュウ, コウ","とが.める, とが"
U+5492,咒,"spell, curse, malediction","ジュ, シュ, シュウ","まじな.う, のろ.い, まじない, のろ.う"
U+54A5,咥,"laugh, chew, eat","テツ, キ","か.む, くわ.える"
U+54A8,咨,investigate,シ,"ああ, はか.る"
U+54AB,咫,"short, span",シ,た
U+54B2,咲,"blossom, bloom",ショウ,"さ.く, -ざき"
U+54B3,咳,"cough, clear throat","カイ, ガイ","せ.く, しわぶ.く, せき, しわぶき"
U+54B8,咸,"all, same","カン, ゲン",
U+54BD,咽,"throat, choked, smothered, stuffy","イン, エン, エツ","むせ.ぶ, むせ.る, のど, の.む"
U+54C0,哀,"pathetic, grief, sorrow, pathos, pity, sympathize",アイ,"あわ.れ, あわ.れむ, かな.しい"
U+54C1,品,"goods, refinement, dignity, article, counter for meal courses","ヒン, ホン",しな
U+54C9,哉,"how, what, alas, question mark, exclamation mark",サイ,"かな, や"
U+54E1,員,"employee, member, number, the one in charge",イン,
U+54E2,哢,"chirp, twitter, warble",ロウ,さえず.る
U+54E5,哥,big brother,"カ, コ","あに, うた"
U+54ED,哭,"weep, moan, wail",コク,"なげ.く, な.く"
U+54F2,哲,"philosophy, clear",テツ,"さとい, あきらか"
U+54FD,哽,"sob, get choked up",コウ,むせ.ぶ
U+5504,唄,"song, ballad",バイ,"うた, うた.う"
U+5507,唇,lips,シン,くちびる
U+5510,唐,"T'ang, China, foreign",トウ,から
U+5516,唖,"mute, dumb","ア, アク",おし
U+552F,唯,"solely, only, merely, simply","ユイ, イ",ただ
U+5531,唱,"chant, recite, call upon, yell",ショウ,とな.える
U+5544,啄,"peck, pick up","タク, ツク, トク","ついば.む, つつ.く"
U+5546,商,"make a deal, selling, dealing in, merchant",ショウ,あきな.う
U+554F,問,"question, ask, problem",モン,"と.う, と.い, とん"
U+5553,啓,"disclose, open, say",ケイ,"ひら.く, さと.す"
U+5557,啗,"allure, entice",タン,"く.らわす, く.う, く.らう"
U+555C,啜,"suck, sip","セツ, テツ",すす.る
U+557B,啻,"incomparable, merely",シ,"ただ.ならぬ, ただ.に"
U+557C,啼,"bark, chirp, cry",テイ,な.く
U+5583,喃,"chatter, rattle on",ナン,の.う
U+5584,善,"virtuous, good, goodness",ゼン,"よ.い, い.い, よ.く, よし.とする"
U+5589,喉,"throat, voice",コウ,のど
U+558B,喋,"talk, chat, chatter","チョウ, トウ","しゃべ.る, ついば.む"
U+5598,喘,"pant, gasp, breathe hard","ゼン, セン","あえ.ぐ, せき"
U+559C,喜,"rejoice, take pleasure in",キ,"よろこ.ぶ, よろこ.ばす"
U+559D,喝,"hoarse, scold",カツ,
U+559E,喞,speak resentfully,"ショク, ソク",かこ.つ
U+559F,喟,moan,"キ, カイ",なげ.く
U+55A7,喧,"noisy, boisterous",ケン,"やかま.しい, かまびす.しい"
U+55A9,喩,"metaphor, compare",ユ,"たと.える, さと.す"
U+55AA,喪,"miss, mourning",ソウ,も
U+55AB,喫,"consume, eat, drink, smoke, receive (a blow)",キツ,の.む
U+55B0,喰,"eat, drink, receive (a blow), (kokuji)",,"く.う, く.らう"
U+55B6,営,"camp, perform, build, conduct (business)",エイ,"いとな.む, いとな.み"
U+55C5,嗅,"smell, sniff, scent",キュウ,か.ぐ
U+55C7,嗇,"miserly, stingy, sparing",ショク,"やぶさ.か, おし.む"
U+55D4,嗔,be angry,シン,いか.る
U+55DA,嗚,"weep, ah, alas","ウ, オ",ああ
U+55DC,嗜,"like, taste, modest",シ,"たしな.む, たしな.み, この.む, この.み"
U+55DF,嗟,"lament, grieve, sigh, alas, ah","サ, シャ","あ, ああ, なげ.く"
U+55E3,嗣,"heir, succeed",シ,
U+55FD,嗽,"rinse, wash, gargle","ソウ, シュウ, ソク","すす.ぐ, ゆす.ぐ, くちすす.ぐ, うがい"
U+5608,嘈,noisy,"ソウ, ショウ",かまびす.しい
U+5609,嘉,"applaud, praise, esteem, happy, auspicious",カ,"よみ.する, よい"
U+5617,嘗,"once, before, formerly, ever, never, ex-, lick, lap up, burn up, taste, undergo, underrate, despise","ショウ, ジョウ","かつ.て, こころ.みる, な.める"
U+5618,嘘,"lie, falsehood","キョ, コ","うそ, ふ.く"
U+5629,嘩,noisy,"カ, ケ",かまびす.しい
U+562F,嘯,"roar, howl, recite emotionally, feign indifference","ショウ, シツ",うそぶ.く
U+5632,嘲,"ridicule, insult","チョウ, トウ",あざけ.る
U+5638,嘸,"how, indeed, I dare say","ブ, ム","さぞ, さぞや, さぞかし"
U+5640,噀,"spurt out of the mouth, blow out water",ソン,
U+5642,噂,"rumor, gossip, hearsay",ソン,うわさ
U+564C,噌,boisterous,"ソウ, ショウ, ソ",かまびす.しい
U+5668,器,"utensil, vessel, receptacle, implement, instrument, ability, container, tool, set",キ,うつわ
U+566A,噪,be noisy,ソウ,さわ.ぐ
U+566C,噬,bite,ゼイ,か.む
U+567A,噺,"talk, (kokuji)",,はなし
U+56A2,嚢,"pouch, purse, bag","ノウ, ドウ",ふくろ
U+56AE,嚮,"guide, direct, incline to, favor","コウ, キョウ","さきに, むか.う"
U+56B4,嚴,"strictness, severity, rigidity","ゲン, ゴン","おごそ.か, きび.しい, いか.めしい, いつくし"
U+56C0,囀,"sing, chirp, warble, chatter",テン,さえず.る
U+56C2,囂,"noisy, boisterous","ゴウ, キョウ","かしま.しい, かまびす.しい"
U+56C3,囃,"play (music), accompany, beat time, banter, jeer, applaud","サツ, ソウ","はや.す, はやし"
U+56C9,囉,"exclamatory final particle, nag",ラ,こえ
U+56D8,囘,round,"カイ, エ","まわ.る, まわ.す, もとお.る, か.える"
U+56DB,四,four,シ,"よ, よ.つ, よっ.つ, よん"
U+56DE,回,"-times, round, game, revolve, counter for occurrences","カイ, エ","まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える"
U+56E0,因,"cause, factor, be associated with, depend on, be limited to",イン,"よ.る, ちな.む"
U+56E3,団,"group, association","ダン, トン","かたまり, まる.い"
U+56F0,困,"quandary, become distressed, annoyed",コン,こま.る
U+56F2,囲,"surround, besiege, store, paling, enclosure, encircle, preserve, keep",イ,"かこ.む, かこ.う, かこ.い"
U+56F3,図,"map, drawing, plan, extraordinary, audacious","ズ, ト","え, はか.る"
U+56FA,固,"harden, set, clot, curdle",コ,"かた.める, かた.まる, かた.まり, かた.い"
U+56FD,国,country,コク,くに
U+570B,國,country,コク,くに
U+570D,圍,"enclose, surround, encircle, preserve, store, keep",イ,"かこ.む, かこ.う, かこ.い"
U+5711,圑,,"ホ, フ","はたけ, にわ"
U+5712,園,"park, garden, yard, farm",エン,その
U+5713,圓,"yen, circle, round",エン,"まる.い, まる, まど, まど.か, まろ.やか"
U+5716,圖,"drawing, plan","ズ, ト","え, はか.る"
U+5718,團,association,"ダン, トン","かたまり, まる.い"
U+571F,土,"soil, earth, ground, Turkey","ド, ト",つち
U+5728,在,"exist, outskirts, suburbs, located in",ザイ,あ.る
U+572D,圭,"square jewel, corner, angle, edge","ケイ, ケ",
U+5730,地,"ground, earth","チ, ジ",
U+5742,坂,"slope, incline, hill",ハン,さか
U+5747,均,"level, average",キン,なら.す
U+574A,坊,"boy, priest's residence, priest","ボウ, ボッ",
U+574F,坏,bowl,ハイ,"つき, おか"
U+5750,坐,sit,"ザ, サ","すわ.る, おわす, そぞろに, まします"
U+5751,坑,"pit, hole",コウ,
U+5761,坡,"dike, dam, slope, bank","ハ, ヒ",つつ.み
U+576A,坪,"two-mat area, approx. thirty-six sq ft",ヘイ,つぼ
U+5782,垂,"droop, suspend, hang, slouch",スイ,"た.れる, た.らす, た.れ, -た.れ, なんなんと.す"
U+57A2,垢,"dirt, grime, earwax","コウ, ク","あか, はじ"
U+57A3,垣,"hedge, fence, wall",エン,かき
U+57C3,埃,dust,アイ,"ほこり, ちり"
U+57CB,埋,"bury, be filled up, embedded",マイ,"う.める, う.まる, う.もれる, うず.める, うず.まる, い.ける"
U+57CE,城,castle,"ジョウ, セイ",しろ
U+57D2,埒,"picket, limits, be settled","レツ, ラツ, ラチ","らち.があく, かこ.い"
U+57D3,埓,"pale, picket fence, limits, come to an end","レツ, ラツ, ラチ","らち.があく, かこ.い"
U+57DC,埜,"open country, field, wilderness","ヤ, ショ",の
U+57DF,域,"range, region, limits, stage, level",イキ,
U+57F5,埵,"hardened dirt or clay, cluster",タ,
U+57F7,執,"tenacious, take hold, grasp, take to heart","シツ, シュウ",と.る
U+57FA,基,"fundamentals, radical (chem), counter for machines, foundation",キ,"もと, もとい"
U+5800,堀,"ditch, moat, canal",クツ,ほり
U+5802,堂,"public chamber, hall",ドウ,
U+5805,堅,"strict, hard, solid, tough, tight, reliable",ケン,"かた.い, -がた.い"
U+5815,堕,"degenerate, descend to, lapse into",ダ,"お.ちる, くず.す, くず.れる"
U+5824,堤,"dike, bank, embankment",テイ,つつみ
U+582A,堪,"withstand, endure, support, resist","カン, タン","た.える, たま.る, こら.える, こた.える"
U+582F,堯,"high, far",ギョウ,たか.い
U+5830,堰,"dam, prevent, stop up",エン,"せき, せ.く"
U+5831,報,"report, news, reward, retribution",ホウ,むく.いる
U+5834,場,"location, place","ジョウ, チョウ",ば
U+5835,堵,"fence, railing, enclosure",ト,かき
U+583A,堺,world,カイ,さかい
U+5840,塀,"fence, wall, (kokuji)","ヘイ, ベイ",
U+584A,塊,"clod, lump, chunk, clot, mass","カイ, ケ","かたまり, つちくれ"
U+5852,塒,"roost, hen coop, spiral","シ, ジ","ねぐら, とや, とぐろ"
U+5854,塔,"pagoda, tower, steeple",トウ,
U+5857,塗,"paint, plaster, daub, smear, coating",ト,"ぬ.る, ぬ.り, まみ.れる"
